知りたい分類,定義,出す場所,品目,出し方詳細,備考
燃やせる,,ゴミステーション（市が回収）,生ごみ（野菜くず、生花、茶がら、貝がらなど）,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝８時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,乾燥剤,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝９時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,保冷剤,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１０時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,アルミはく,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１１時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,アルミのうどん鍋,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１２時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,食用油,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１３時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",紙・布などにしみこませる
燃やせる,,ゴミステーション（市が回収）,古着,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１４時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,くつ,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１５時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,かばん,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１６時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,革製品,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１７時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,紙くず,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１８時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,紙パック,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝１９時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,紙コップ,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２０時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,ぬいぐるみ,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２１時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,ボール,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２２時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,使い捨てカイロ,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２３時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,玄関マット,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２４時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,クッション,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２５時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,カーテン,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２６時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,薄手のふとん,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２７時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",
燃やせる,,ゴミステーション（市が回収）,紙おむつ,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２８時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",汚物はトイレへ
燃やせる,,ゴミステーション（市が回収）,犬・猫等のフン,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝２９時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",小袋（1kg以内）に少量ずつ入れる
燃やせる,,ゴミステーション（市が回収）,使用した花火,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝３０時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",十分に湿らせる、未使用の花火は環境クリーンセンターへ
燃やせる,,ゴミステーション（市が回収）,50cm以内に切った葉のついていない枝,"1:生ごみは水気をよく切る
2:指定袋（赤色）に入れて口をしっかりとしばる

3:朝３１時までに決められた
ごみステーションへ


袋に入る大きさにする
※大きいものは切ったり、こわしたりして指定袋に入れてしばってください",(ひもで束ねれば袋に入れなくてOK
燃やせない,"・ガラス
・陶磁器
・金属",ゴミステーション（市が回収）,陶磁器（茶碗、皿、鉢など）,"1：市の推奨袋または30L以下の透明・半透明の袋に入れる

２：2袋の口をしっかりとしばる
(テープなどでとめるのは×）

3朝８時までに決められたごみステーションへ","ここがポイント
袋に入る大きさにする
※大きいものは切ったり、こわしたりして
推奨袋に入れてください（家電はこわしても収集しません）※傘以外のものは、袋から出ている場合、
収集しません"
燃やせない,"・ガラス
・陶磁器
・金属",ゴミステーション（市が回収）,ガラス製品,"1：市の推奨袋または30L以下の透明・半透明の袋に入れる

２：2袋の口をしっかりとしばる
(テープなどでとめるのは×）

3朝９時までに決められたごみステーションへ",板ガラス、鏡など。布にくるむなど、安全な形にしてから出してください
燃やせない,"・ガラス
・陶磁器
・金属",ゴミステーション（市が回収）,大きい缶(500mlより大きい缶）,"1：市の推奨袋または30L以下の透明・半透明の袋に入れる

２：2袋の口をしっかりとしばる
(テープなどでとめるのは×）

3朝１０時までに決められたごみステーションへ",
燃やせない,"・ガラス
・陶磁器
・金属",ゴミステーション（市が回収）,ガラス食器,"1：市の推奨袋または30L以下の透明・半透明の袋に入れる

２：2袋の口をしっかりとしばる
(テープなどでとめるのは×）

3朝１１時までに決められたごみステーションへ",割れた食器は新聞等にくるんでください
燃やせない,"・ガラス
・陶磁器
・金属",ゴミステーション（市が回収）,アルミ・ステンレス製のなべ・やかん,"1：市の推奨袋または30L以下の透明・半透明の袋に入れる

２：2袋の口をしっかりとしばる
(テープなどでとめるのは×）

3朝１２時までに決められたごみステーションへ",ホーローや鉄等厚手のなべ（圧力なべ等）、フライパンは『破砕困難ごみ・危険ごみ』
燃やせない,"・ガラス
・陶磁器
・金属",ゴミステーション（市が回収）,傘,"1：市の推奨袋または30L以下の透明・半透明の袋に入れる

２：2袋の口をしっかりとしばる
(テープなどでとめるのは×）

3朝１３時までに決められたごみステーションへ",傘だけは袋からはみ出ていてもＯＫ
